length(cm),weight(g)
35,662.2
35.4,637.6
35.5,658.5
35.5,656.8
32.6,542.9
35.5,618.3
35.4,663.5
37.2,771.4
36.9,649.2
35.3,596.7
37.5,736.1
34.3,585.8
33.2,496.6
34.9,572.7
35.2,600.1
35,530.8
34.9,505
32.6,419.5
33.2,491.2
33.2,497.4
34,568.9
35.5,591.8
34.5,525.5
32,468.4
34.3,512.5
36.2,635.3
33.3,534.1
32.3,455.9
34,535.2
33,497.5
33.4,485.9
34.9,547.8
34.6,521.3
34.2,533.1
34,461.7
33.9,572.5
33.9,568.2
35,581.7
33.3,451.4
29.5,287.1
31.2,385.6
31,352.8
30,307.5
30.5,336.8
29.6,308.8
31.2,363.3
31.1,365.4
32,445.7
29.8,289.4
28.1,251.4
30.3,329.1
28.6,278.2
30.6,347.5
29.7,297.5
30,296.8
30.6,336.3
32.1,397.1
31.6,379.8
32.3,418.6
29.2,328
30.5,350.9
30.5,349.9
29.9,338.8
31.5,382.3
33.2,447.7
35,395.9
30.2,337.9
30.2,326.7
29.6,300.1
29.1,287.7
30,348.7
30,289.9
29.4,302.5
29.8,305.9
28.9,296.6
27.8,244.6
29.6,265.8
27.4,234.6
29.9,305.7
31.6,388.9
29.1,302.9
29.4,294.5
31.5,389.9
28.2,263.9
28.9,266.5
31.3,368.6
28.9,289.6
28.4,252.3
29.4,296.1
30.8,348.9
29.3,286.5
28.6,274.7
28.2,270.1
29.5,303.3
28.3,272.2
26.3,224.6
26.4,218.2
29,266.1
39.9,1046.3
39.2,955.6
37.6,837.5
40.5,998.9
39.3,945.7
37.4,750.7
37.5,895.5
38.3,888.3
37.8,870.3
38.9,927.6
38.6,920
39,847.2
38.5,942.6
37,779
38.3,811.9
39.5,874.7
38.9,941.5
41,970.2
38.8,832.8
38.3,947.3
39.1,991.8
38.8,888.3
38.3,882.3
40.4,1044.1
37.6,910.9
33.9,603.9
36.6,805.6
37.3,803
38.5,923.8
42.7,1289.2
33.6,604.7
38.7,821.3
38,800.4
38.3,880.7
39.6,965
36.6,746.3
36.3,776.8
34.8,716.8
38.6,809
39,923.7
38.8,826.4
37.2,802.8
33.3,578.9
33.8,603.8
41,1057.4
33.3,564.8
33.1,583.4
36.3,665.8
32.6,488.6
31.8,515.6
35.5,628.6
31.8,496.1
32.9,536.2
32.6,494.4
34.7,634.1
32,532.8
33.4,531.4
32.6,536
33.3,557.5
33.1,561.3
32.5,525.5
33,542
33,525.2
32.1,501.8
